class_name	ncbitaxon:1003244	ncbitaxon:1003247	ncbitaxon:1003248	ncbitaxon:1003255	ncbitaxon:104773	ncbitaxon:112800	ncbitaxon:1131839	ncbitaxon:114201	ncbitaxon:1203500	ncbitaxon:1203515	ncbitaxon:1203520	ncbitaxon:124867	ncbitaxon:125011	ncbitaxon:125017	ncbitaxon:125045	ncbitaxon:13806	ncbitaxon:13811	ncbitaxon:13819	ncbitaxon:13828	ncbitaxon:138900	ncbitaxon:139826	ncbitaxon:139835	ncbitaxon:14101	ncbitaxon:14107	ncbitaxon:1525212	ncbitaxon:155890	ncbitaxon:155891	ncbitaxon:1561072	ncbitaxon:1561073	ncbitaxon:1561080	ncbitaxon:156152	ncbitaxon:156201	ncbitaxon:16362	ncbitaxon:16367	ncbitaxon:16376	ncbitaxon:16472	ncbitaxon:16611	ncbitaxon:16673	ncbitaxon:16711	ncbitaxon:16712	ncbitaxon:16714	ncbitaxon:16727	ncbitaxon:16733	ncbitaxon:16737	ncbitaxon:16739	ncbitaxon:16748	ncbitaxon:1732448	ncbitaxon:179841	ncbitaxon:1804623	ncbitaxon:1873870	ncbitaxon:1898022	ncbitaxon:19955	ncbitaxon:20008	ncbitaxon:20019	ncbitaxon:209791	ncbitaxon:21472	ncbitaxon:21561	ncbitaxon:21571	ncbitaxon:216853	ncbitaxon:21910	ncbitaxon:22009	ncbitaxon:22063	ncbitaxon:22097	ncbitaxon:22118	ncbitaxon:22140	ncbitaxon:22274	ncbitaxon:22297	ncbitaxon:22788	ncbitaxon:2282344	ncbitaxon:22910	ncbitaxon:22973	ncbitaxon:2304161	ncbitaxon:23066	ncbitaxon:23097	ncbitaxon:23121	ncbitaxon:233879	ncbitaxon:233880	ncbitaxon:233881	ncbitaxon:23513	ncbitaxon:23672	ncbitaxon:23808	ncbitaxon:24079	ncbitaxon:24579	ncbitaxon:24584	ncbitaxon:246271	ncbitaxon:24902	ncbitaxon:24921	ncbitaxon:24942	ncbitaxon:24943	ncbitaxon:24966	ncbitaxon:255922	ncbitaxon:25623	ncbitaxon:25664	ncbitaxon:25673	ncbitaxon:25692	ncbitaxon:25926	ncbitaxon:25931	ncbitaxon:25996	ncbitaxon:26000	ncbitaxon:26019	ncbitaxon:26122	ncbitaxon:26279	ncbitaxon:26319	ncbitaxon:26339	ncbitaxon:26468	ncbitaxon:26766	ncbitaxon:26778	ncbitaxon:26958	ncbitaxon:27065	ncbitaxon:27254	ncbitaxon:280805	ncbitaxon:28466	ncbitaxon:2956716	ncbitaxon:29585	ncbitaxon:29600	ncbitaxon:29607	ncbitaxon:29616	ncbitaxon:29619	ncbitaxon:29635	ncbitaxon:29637	ncbitaxon:301453	ncbitaxon:301454	ncbitaxon:3043	ncbitaxon:3051	ncbitaxon:3070	ncbitaxon:3086	ncbitaxon:3103	ncbitaxon:3114	ncbitaxon:3127	ncbitaxon:3131	ncbitaxon:3146	ncbitaxon:3201	ncbitaxon:32084	ncbitaxon:3211	ncbitaxon:32151	ncbitaxon:3216	ncbitaxon:32186	ncbitaxon:3220	ncbitaxon:32203	ncbitaxon:3227	ncbitaxon:3238	ncbitaxon:3245	ncbitaxon:3250	ncbitaxon:3256	ncbitaxon:3265	ncbitaxon:3269	ncbitaxon:3272	ncbitaxon:3275	ncbitaxon:3282	ncbitaxon:3298	ncbitaxon:3309	ncbitaxon:3318	ncbitaxon:334154	ncbitaxon:3362	ncbitaxon:3367	ncbitaxon:3379	ncbitaxon:3386	ncbitaxon:3394	ncbitaxon:3401	ncbitaxon:3417	ncbitaxon:3424	ncbitaxon:3427	ncbitaxon:3433	ncbitaxon:3440	ncbitaxon:3455	ncbitaxon:3458	ncbitaxon:3465	ncbitaxon:3474	ncbitaxon:3481	ncbitaxon:3487	ncbitaxon:3499	ncbitaxon:3503	ncbitaxon:3514	ncbitaxon:3520	ncbitaxon:3525	ncbitaxon:3536	ncbitaxon:3542	ncbitaxon:35432	ncbitaxon:35433	ncbitaxon:35436	ncbitaxon:35461	ncbitaxon:35484	ncbitaxon:3563	ncbitaxon:3568	ncbitaxon:3581	ncbitaxon:3584	ncbitaxon:3587	ncbitaxon:3590	ncbitaxon:3593	ncbitaxon:3602	ncbitaxon:3608	ncbitaxon:3615	ncbitaxon:3623	ncbitaxon:3629	ncbitaxon:3642	ncbitaxon:3647	ncbitaxon:3650	ncbitaxon:3680	ncbitaxon:3683	ncbitaxon:3688	ncbitaxon:3700	ncbitaxon:3733	ncbitaxon:3737	ncbitaxon:37393	ncbitaxon:37397	ncbitaxon:37411	ncbitaxon:37421	ncbitaxon:3745	ncbitaxon:3776	ncbitaxon:3781	ncbitaxon:37822	ncbitaxon:3792	ncbitaxon:379500	ncbitaxon:3803	ncbitaxon:39020	ncbitaxon:3928	ncbitaxon:3931	ncbitaxon:3934	ncbitaxon:3954	ncbitaxon:3958	ncbitaxon:3963	ncbitaxon:3973	ncbitaxon:3977	ncbitaxon:398018	ncbitaxon:3997	ncbitaxon:39987	ncbitaxon:39998	ncbitaxon:4000	ncbitaxon:40029	ncbitaxon:4004	ncbitaxon:40043	ncbitaxon:400721	ncbitaxon:4011	ncbitaxon:4014	ncbitaxon:4018	ncbitaxon:4027	ncbitaxon:4033	ncbitaxon:40338	ncbitaxon:4037	ncbitaxon:4050	ncbitaxon:40552	ncbitaxon:4056	ncbitaxon:40588	ncbitaxon:4070	ncbitaxon:4118	ncbitaxon:41218	ncbitaxon:4136	ncbitaxon:41399	ncbitaxon:4144	ncbitaxon:4149	ncbitaxon:41773	ncbitaxon:4180	ncbitaxon:41837	ncbitaxon:41842	ncbitaxon:41845	ncbitaxon:4185	ncbitaxon:41850	ncbitaxon:41860	ncbitaxon:41866	ncbitaxon:41867	ncbitaxon:418793	ncbitaxon:4196	ncbitaxon:41972	ncbitaxon:4200	ncbitaxon:4206	ncbitaxon:4210	ncbitaxon:42216	ncbitaxon:42219	ncbitaxon:42225	ncbitaxon:42228	ncbitaxon:4268	ncbitaxon:4274	ncbitaxon:4286	ncbitaxon:4289	ncbitaxon:4294	ncbitaxon:4305	ncbitaxon:4313	ncbitaxon:4321	ncbitaxon:4324	ncbitaxon:4328	ncbitaxon:4335	ncbitaxon:4345	ncbitaxon:4353	ncbitaxon:4360	ncbitaxon:43707	ncbitaxon:4374	ncbitaxon:4381	ncbitaxon:4386	ncbitaxon:43873	ncbitaxon:4390	ncbitaxon:4401	ncbitaxon:4405	ncbitaxon:4410	ncbitaxon:441552	ncbitaxon:4429	ncbitaxon:4437	ncbitaxon:4449	ncbitaxon:4454	ncbitaxon:4479	ncbitaxon:44985	ncbitaxon:4609	ncbitaxon:4613	ncbitaxon:4619	ncbitaxon:4626	ncbitaxon:4630	ncbitaxon:4637	ncbitaxon:4642	ncbitaxon:4668	ncbitaxon:4671	ncbitaxon:4674	ncbitaxon:4677	ncbitaxon:4703	ncbitaxon:4710	ncbitaxon:4724	ncbitaxon:4731	ncbitaxon:4740	ncbitaxon:4747	ncbitaxon:49662	ncbitaxon:50362	ncbitaxon:51377	ncbitaxon:51383	ncbitaxon:51590	ncbitaxon:52974	ncbitaxon:53009	ncbitaxon:53016	ncbitaxon:53020	ncbitaxon:54924	ncbitaxon:55434	ncbitaxon:55435	ncbitaxon:55961	ncbitaxon:56627	ncbitaxon:56740	ncbitaxon:56881	ncbitaxon:56883	ncbitaxon:56885	ncbitaxon:56910	ncbitaxon:56912	ncbitaxon:57708	ncbitaxon:620909	ncbitaxon:629714	ncbitaxon:629717	ncbitaxon:63070	ncbitaxon:63072	ncbitaxon:63081	ncbitaxon:63083	ncbitaxon:63776	ncbitaxon:63796	ncbitaxon:65055	ncbitaxon:66670	ncbitaxon:66687	ncbitaxon:67245	ncbitaxon:693765	ncbitaxon:693766	ncbitaxon:693768	ncbitaxon:693794	ncbitaxon:69450	ncbitaxon:70208	ncbitaxon:703253	ncbitaxon:703407	ncbitaxon:72383	ncbitaxon:75435	ncbitaxon:80887	ncbitaxon:82145	ncbitaxon:83620	ncbitaxon:85159	ncbitaxon:85174	ncbitaxon:85275	ncbitaxon:85278	ncbitaxon:88854	ncbitaxon:91816	ncbitaxon:91829	ncbitaxon:91850	ncbitaxon:91851	ncbitaxon:91852	ncbitaxon:91896	ncbitaxon:94394	ncbitaxon:95774	ncbitaxon:984489	ncbitaxon:984509	ncbitaxon:984539	ncbitaxon:984551
Menthane monoterpenoids	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	1	0	8	0	0	0	0	1	0	0	0	2	0	0	1	7	0	0	1	0	0	1	1	0	1	2	5	26	2	52	10	0	0	14	0	0	3	2	0	1	9	0	8	0	27	0	3	0	0	55	13	1	20	0	0	0	0	2	0	11	2	1	0	260	9	3	6	0	0	0	2	2	12	0	73	0	4	1	0	0	0	0	2	0	0	1	0	0	9	0	1	2	1	3	0	0	6	31	0	13	0	0	0	0	7	2	2	0	2	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	2	0	0	1	80	2	8	90	0	10	0	38	0	1	3	80	71	2	0	6	2	10	22	1	13	2	0	0	0	3	1	2	0	1	0	0	0	3	0	1	0	4	5	7	24	1	20	0	1	2	1	4	0	33	2	0	0	0	0	0	56	1	19	0	20	0	167	0	7	131	0	1	2	0	1	38	0	0	4	0	2	0	0	0	7	11	22	0	12	1	0	300	22	13	32	13	51	11	14	546	2	28	17	9	0	4	1	2	5	0	2	2	0	0	1	0	29	16	669	1	2	0	7	1	10	1	1	23	25	0	0	1	5	22	23	0	7	19	0	8	0	0	2	0	0	0	0	5	0	1	16	24	10	6	0	6	0	0	0	165	11	1	1	2	2	6	3	0	0	10	0	1	0	11	0	0	0	7	0	0	0	1	16	0	0	0	0	0	0	1	0	12	29	0	0	0	0	4	1	0	1	0	0	0	0	0	0	0	11	0	2	0	0	2	0	6	0	0	0	1	0	0	0	3	0	1	0	7	0	1	0	0	0	1
Gallotannins	0	1	0	1	2	0	0	0	2	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	2	26	7	53	0	0	0	0	0	0	0	7	0	44	57	1	2	35	0	0	1	6	0	0	8	7	0	0	3	0	39	0	0	0	0	0	2	6	8	0	3	0	2	0	0	1	0	0	1	55	0	105	50	1	5	0	0	0	0	0	4	19	34	0	2	0	24	0	0	0	6	4	0	0	1	0	7	2	4	1	1	36	1	0	0	0	0	1	4	0	0	0	5	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	1	0	0	0	3	0	0	1	62	0	0	34	0	3	6	13	0	0	0	54	27	39	9	9	0	1	49	32	105	21	11	31	0	0	5	3	0	0	0	1	2	1	0	0	0	9	17	4	41	0	4	3	2	5	0	1	5	9	1	6	0	0	0	0	125	9	56	0	7	0	277	0	106	107	21	69	0	2	0	200	0	0	4	51	0	0	0	2	0	65	2	0	48	0	0	44	3	9	51	2	20	6	12	95	0	4	6	9	0	2	0	0	57	0	1	0	0	0	1	0	22	5	433	10	29	0	0	2	1	1	1	1	3	0	0	0	0	7	8	0	2	105	0	3	2	0	1	0	0	4	0	5	5	1	4	4	7	1	0	0	0	0	1	4	41	35	1	4	1	7	1	5	1	6	0	1	2	6	0	26	0	0	0	0	31	2	37	0	0	0	0	0	0	0	0	0	28	0	0	0	0	18	0	4	0	2	0	7	0	0	0	0	1	0	1	0	11	1	0	0	1	0	3	12	8	0	0	5	0	0	1	30	0	0	0	0	0	0
Isoquinoline alkaloids	0	0	11	4	5	0	0	1	0	0	0	0	0	0	0	0	7	4	14	0	0	3	0	0	0	0	0	14	0	0	15	0	0	2	0	0	0	0	0	0	0	26	0	3	23	2	0	0	59	0	0	7	1	1	0	9	0	17	0	1	48	15	0	0	512	6	0	0	0	0	0	0	0	0	2	0	2	0	161	11	1	1	0	0	0	3	0	0	2	69	0	3	0	1	0	0	0	0	7	0	0	0	0	1	6	15	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	7	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	1	3	9	0	9	44	5	0	0	80	0	0	0	295	333	648	0	1239	0	0	17	0	1	0	0	0	1	6	0	0	7	0	0	0	14	2	0	0	0	36	0	23	6	0	5	0	0	5	0	11	31	6	0	0	0	0	0	0	11	11	3	0	0	1	238	0	3	22	0	1	1	16	0	95	0	0	2	0	2	14	0	0	0	8	22	0	11	0	0	34	22	25	43	0	30	6	10	103	8	1	17	197	0	0	0	0	15	0	0	0	0	0	0	0	12	16	375	0	42	0	1	0	8	0	0	0	21	0	0	0	1	13	14	0	0	18	0	1	0	0	0	0	0	0	0	38	0	0	2	6	0	6	0	0	0	0	1	42	219	6	12	15	0	9	0	0	0	12	1	0	0	33	0	0	0	0	0	0	0	3	11	0	0	0	0	0	0	0	1	0	4	0	50	14	0	12	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	3	1	3	20	0	0	0	0	0	23	0	0	0	0	0	0
Labdane diterpenoids	0	0	0	4	0	16	0	0	0	0	0	0	0	0	0	1	0	6	1	0	1	0	0	0	0	0	0	0	0	0	35	0	21	0	0	0	2	0	0	0	0	3	2	4	9	0	0	0	9	0	0	0	0	0	0	16	0	8	0	0	0	1	0	3	13	1	0	0	0	0	0	0	0	0	0	4	0	0	42	1	0	6	0	3	0	0	3	0	0	48	0	3	21	0	3	6	0	0	0	0	0	0	0	0	35	2	0	0	2	0	0	6	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	11	8	0	0	0	101	3	17	125	0	0	0	1	0	0	0	11	16	1	0	0	0	0	3	0	0	2	0	2	1	0	0	4	0	0	0	1	7	1	0	0	0	0	0	32	0	5	13	0	0	2	0	1	7	9	0	0	0	0	0	0	41	0	11	0	4	0	162	1	6	27	0	0	0	0	0	52	0	1	0	0	6	1	0	0	0	0	0	0	3	0	0	3	3	7	36	0	37	2	9	255	0	4	7	5	0	1	0	4	51	0	0	0	0	0	0	0	1	16	299	3	0	0	0	0	0	0	0	0	36	0	0	0	3	11	10	0	0	32	0	0	0	0	0	0	0	0	0	1	1	13	0	22	1	1	0	8	0	0	0	72	15	0	0	5	0	5	0	0	0	27	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	9	0	0	0	0	3	0	0	11	0	0	0	0	0	0	1	12	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1
Oleanane triterpenoids	2	7	0	15	0	4	3	2	2	0	2	0	0	4	13	0	0	15	0	0	3	0	0	0	0	2	0	5	2	14	34	1	0	0	0	1	0	4	0	19	24	8	6	0	48	0	0	0	90	0	1	57	17	38	0	88	0	16	0	39	0	2	0	0	46	5	0	103	0	12	6	0	0	5	5	17	39	1	141	155	20	33	1	1	0	0	5	6	18	192	0	5	0	3	27	0	0	10	0	1	3	9	0	6	5	16	4	0	89	3	0	0	0	0	0	1	7	0	0	0	13	0	0	1	0	0	0	0	0	3	0	0	10	0	0	0	0	0	1	1	1	1	3	0	0	4	1	21	1	0	1	26	0	33	40	2	13	9	6	4	0	0	46	283	43	0	25	13	3	45	12	45	37	6	104	5	4	0	1	0	0	1	61	124	6	0	13	10	53	13	19	36	3	58	27	0	82	3	3	11	35	0	40	0	3	7	1	147	0	15	0	65	0	936	0	23	97	13	58	4	10	1	110	4	0	24	5	8	8	0	0	0	41	32	0	7	1	0	218	362	39	107	16	122	24	10	408	3	53	27	59	3	2	3	0	18	0	1	2	0	0	0	1	126	41	894	1	9	1	3	6	62	0	1	88	136	0	2	0	4	213	52	3	0	122	0	42	1	22	2	0	4	0	0	3	1	1	17	20	33	9	0	0	0	1	0	6	55	6	0	9	6	1	2	3	1	20	0	1	0	7	0	0	0	0	0	0	3	0	33	0	0	3	2	0	0	6	0	0	19	0	0	0	4	0	2	1	0	0	0	0	1	0	0	0	3	4	5	0	49	5	3	0	1	0	4	2	1	0	0	5	0	0	2	13	1	0	2	0	0	5
Flavanones	0	0	12	27	0	1	0	0	0	0	0	0	1	0	0	0	1	40	2	0	0	0	0	0	0	0	23	3	0	23	20	0	0	0	0	0	0	0	0	0	2	1	1	3	57	0	0	0	11	7	0	23	1	0	0	11	0	14	0	1	1	0	0	0	76	9	0	0	0	0	3	0	0	0	2	0	16	0	240	21	26	12	0	0	0	0	7	1	1	76	0	8	0	4	1	0	2	0	1	0	5	0	0	10	5	29	3	0	4	0	0	0	2	0	2	16	4	0	2	3	2	6	0	0	10	0	0	0	0	0	0	0	25	0	0	0	0	1	0	4	2	3	1	0	1	4	1	10	0	0	0	47	2	7	9	1	25	3	3	7	0	0	38	35	32	0	13	6	8	117	1	11	23	0	1	3	2	0	0	0	0	0	6	8	2	0	0	1	49	1	9	47	0	10	2	2	7	1	1	15	48	3	1	0	0	1	1	93	5	4	5	1	0	835	0	31	54	23	10	0	0	0	109	1	0	22	7	1	2	0	5	0	28	6	0	28	0	0	19	4	11	36	10	48	8	11	240	5	5	10	3	0	1	0	1	21	0	0	0	0	0	6	3	29	5	490	0	0	0	0	0	0	2	0	2	15	0	0	0	0	62	38	5	3	28	0	5	0	1	0	2	0	1	4	0	2	2	8	6	4	11	3	6	0	0	0	23	38	2	4	8	3	2	0	4	0	15	0	0	0	10	0	0	1	0	0	1	1	0	66	11	0	0	0	0	0	0	0	0	9	0	0	0	0	3	0	0	0	2	0	0	0	0	1	10	0	0	6	0	0	0	5	0	0	0	0	0	1	0	0	1	0	0	3	6	0	0	1	0	0	0
